Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,Year,Profit,ROI,Decade
1887,2013-02-14,Safe Haven,28000000,94050951,71399120,2013,66050951,235.8962535714286,2010
1328,2013-02-15,Escape From Planet Earth,40000000,74156610,57012977,2013,34156610,85.391525,2010
2819,2013-02-22,Snitch,15000000,57907734,42930462,2013,42907734,286.05156,2010
4233,2013-02-22,Inescapable,4000000,4327,4327,2013,-3995673,-99.891825,2010
4271,2013-02-22,Dark Skies,3500000,27704111,17418667,2013,24204111,691.5460285714286,2010
3942,2013-02-26,Tao Jie,5400000,4728896,0,2013,-671104,-12.427851851851852,2010
41,2013-03-05,Iron Man 3,200000000,1215392272,408992272,2013,1015392272,507.696136,2010
3428,2013-03-05,The Iceman,10000000,3623609,1930282,2013,-6376391,-63.76391,2010
3455,2013-03-05,"Cinco de Mayo, La Batalla",10000000,173472,173472,2013,-9826528,-98.26528,2010
568,2013-03-07,Despicable Me 2,76000000,975216835,368065385,2013,899216835,1183.1800460526315,2010
4471,2013-03-07,Kevin Hart: Let Me Explain,2500000,32327255,32244051,2013,29827255,1193.0901999999999,2010
1117,2013-03-15,Upside Down,50000000,26387039,102118,2013,-23612961,-47.225922,2010
1679,2013-03-15,The Incredible Burt Wonderstone,32000000,27392609,22537881,2013,-4607391,-14.398096875,2010
3093,2013-03-15,The Call,12800000,69821476,51872378,2013,57021476,445.48028124999996,2010
4003,2013-03-15,Spring Breakers,5000000,31149251,14124286,2013,26149251,522.98502,2010
649,2013-03-22,Olympus Has Fallen,70000000,150562164,98927592,2013,80562164,115.08880571428573,2010
2150,2013-03-22,On the Road,25000000,9313302,720828,2013,-15686698,-62.746792,2010
3061,2013-03-22,Admission,13000000,18733666,18007317,2013,5733666,44.10512307692308,2010
187,2013-03-27,G.I. Joe: Retaliation,140000000,375740705,122523060,2013,235740705,168.38621785714284,2010
1083,2013-03-29,The Host,50000000,64477051,26623701,2013,14477051,28.954102,2010
2858,2013-03-29,The Place Beyond the Pines,15000000,47011449,21403519,2013,32011449,213.40966,2010
2366,2013-04-01,Texas Chainsaw 3D,20000000,47666013,34341945,2013,27666013,138.330065,2010
2903,2013-04-01,Promised Land,15000000,9300336,7597898,2013,-5699664,-37.99776,2010
282,2013-04-10,Gravity,110000000,695941797,274092705,2013,585941797,532.6743609090909,2010
1810,2013-04-10,Runner Runner,30000000,60512680,19316646,2013,30512680,101.70893333333333,2010
